Parent,Child,CONVERSION RATE,Parent Description,Child Description,Parent QSU,Child QSU,Parent SU,Child SU
0308353,0308353PK,4,BTL RND WM W/CAP PP 48/CS,BTL RND WM W/CAP PP 12PK,00048,00012,CS,PK
17384200,17384200PK,10,FOAM EARPLGS UNCORDED 2000CS,FOAM EARPLGS UNCORDED 200PK,02000,00200,CS,PK
19125915,19125915EA,20,CLNRM NYLN LNR FF LG  20PR/PK,CLNRM NYLN LNR FF LG 21PR,00020,00001,PK,PR
19125916,19125916EA,20,CLNRM NYLN LNR FF MED 20PR/PK,CLNRM NYLN LNR FF MED 1PR,00020,00001,PK,PR
19125917,19125917EA,20,CLNRM NLYN LNR FF SM 20PR/PK,CLNRM NLYN LNR FF SM 1PR,00020,00001,PK,PR
19125918,19125918EA,20,CLNRM NYLN LNR FF XL 20PR/PK,CLNRM NYLN LNR FF XL 1PR,00020,00001,PK,PR
19181552,19181552EA,4,ADHSVE ENT MAT 30/S 36X45 4/CS,ADHSVE ENT MAT 30/S 36X45 1EA,00004,00001,CS,EA
033136D,033136DPK,2,BTL W/M BULK HDPE 32OZ 50/CS,BTL W/M BULK HDPE 32OZ 25PK,00050,00025,CS,PK
1371277,1371277EA,50,TBG-NP-PVC 1/8X1/4X1/16 50FT,TBG-NP-PVC 1/8X1/4X1/16 1FT,50,1,CS,EA
1371281,1371281EA,50,TBG-NP-PVC 1/4X3/8X1/16 50FT,TBG-NP-PVC 1/4X3/8X1/16 1FT,50,1,CS,EA
1371289,1371289EA,50,TBG-NP-PVC 3/8X1/2X1/16 50FT,TBG-NP-PVC 3/8X1/2X1/16 1FT,50,1,CS,EA
1371292,1371292EA,50,TBG-NP-PVC 3/8X5/8X1/8 50FT,TBG-NP-PVC 3/8X5/8X1/8 1FT,50,1,CS,EA
1371302,1371302EA,50,TBG-NP-VAC 1/4X5/8X3/16 50FT,TBG-NP-VAC 1/4X5/8X3/16 1FT,50,1,CS,EA
14650125,14650125EA,6,FISHER DUSTER 1234ZE 10OZ 6CS,FISHER DUSTER 1234ZE 10OZ 1EA,00006,00001,CS,EA
60048327,60048327EA,4,ACETONITRILE BIOSYN FO 4 LT,CETONITRILE BIOSYN FO 1EA,00004,00001,CS,EA
60048382,60048382EA,4,CAPPING REAGENT BIOSYN 4 LT,CAPPING REAGENT BIOSYN 1EA,00004,00001,CS,EA
60048385,60048385EA,4,CAPPING REAGENT BIOSYN 4 LT,CAPPING REAGENT BIOSYN 4LT,00004,00001,CS,EA
60048413,60048413EA,4,DETRITYLATION REAGENT BI 4 LT,DETRITYLATION REAGENT BI 4LT,00004,00001,CS,EA
60048524,60048524EA,4,OXIDATION REAGENT BIOSYN 4 LT,OXIDATION REAGENT BIOSYN 4LT,00004,00001,CS,EA
018161B,018161BPK,10,BAG ZIP SEAL PE 2MIL 3X5IN MCS,BAGZIPSEAL PE2MIL3X5INMCS100PK,01000,00100,CS,PK
028935B,028935BEA,12,BOTTLE WM HDPE 2OZ 12/PK,BOTTLE WM HDPE 2OZ 1EA,00012,00001,PK,EA
FB0340922C,FB0340922CE,6,FB WASH BOTTLE LOGO 500ML 6/PK,FB WASH BOTTLE LOGO 500ML 1EA,00006,00001,PK,EA
04355450D,04355450DEA,24,ETH ALC 200PRF TX DRCTSHP 24CS,ETH ALC 200PRF TX DRCTSHP 1EA,00024,00001,CS,EA
17500274,17500274EA,30,TYVK  400 LAB COAT NF LG 30/CS,TYVK 400 LAB COAT NF LG 1EA,00030,00001,CS,EA
17500276,17500276EA,30,TYVK  400 LAB COAT NF MD 30/CS,TYVK 400 LAB COAT NF MD 1EA,00030,00001,CS,EA
17988400,17988400EA,50,TYVEK APRON BIB SARNX WH 50/CS,TYVEK APRON BIB SARNX WH 1EA,00050,00001,CS,EA
15078292,15078292EA,12,ALUMINUM FOIL 12X25FT 12PK,ALUMINUM FOIL 12X25FT 1EA,12,1,PK,EA
097402A,097402AEA,12,FILT UN STL .20UM 250ML 12/CS,FILT UN STL .20UM 250ML 1EA,00012,00001,CS,EA
22171715,22171715PK,20,CNT TB 50ML ATT CP PS ST 5C/CS,CNT TB 50ML ATT CP PS ST 25PK,00500,00025,CS,PK
02003613,02003613EA,6,PHOSPHORIC ACID NF 500ML 6/CS,PHOSPHORIC ACID NF 500ML 1EA,00006,00001,CS,EA
08555A,08555AEA,4,CYLINDER WHITE LINE 10ML,CYLINDER WHITE LINE 10ML 1EA,00004,00001,PK,EA
0334125S,0334125SPK,5,VIAL SCINT 20ML GLASS 500/CS,VIAL SCINT 20ML GLASS 100PK,00500,00100,CS,PK
17444030,17444030PK,12,HTC IPA FS ULT70 WP 480/CS,HTC IPA FS ULT70 WP 40PK,00480,00040,CS,PK
07202031,07202031PK,25,RNDPETRIDSH PS NAT 3 S 825/CS,RNDPETRIDSH PS NAT 3 S 33/PK,00825,00033,CS,PK
19043735,19043735EA,24,PURELL HND SANITIZER 24/CS 2OZ,PURELL HND SANITIZER 1EA 2OZ,00024,00001,CS,EA
6000055,6000055EA,4,FORMIC ACID/ACETON 2.5LT,FORMICACID/ACETON2.5LT 1EA,00004,00001,CS,EA
0331314E,0331314EEA,125,BTL PKG WM PP 500ML 125/CS,BTL PKG WM PP 500ML 1EA,00125,00001,CS,EA
21200253,21200253PK,5,CUVETT 4.5ML SQ PS 4SIDE 5C/CS,CUVETT 4.5ML SQ PS 4SIDE 100PK,00500,00100,CS,PK
0331379F,0331379FEA,50,BTL BLK WM HDPE 1000ML 50/CS,BTL BLK WM HDPE 1000ML 1EA,00050,00001,CS,EA
02912736,02912736PK,10,CRYOELITE 5ML FS PTCH 500/CS,CRYOELITE 5ML FS PTCH 50PK,00500,00050,CS,PK
0334125D,0334125DPK,5,VIAL SCINT 20ML GLASS 500/CS,VIAL SCINT 20ML GLASS 100/PK,00500,00100,CS,PK
SH30028FS,SH30028FSEA,6,DPBS 1X WO CA MG PR 500ML 6PK,DPBS 1X WO CA MG PR 500ML 1EA,00006,00001,PK,EA
19034220,19034220PK,24,STRLE TECHNISAT 9X11,STRLE TECHNISAT 9X11 20PK,00480,00020,CS,PK
19034962,19034962PK,50,SWAB LOW TOC VALIDATION,SWAB LOW TOC VALIDATION 20PK,01000,00020,CS,PK
18368,18368PK,10,SWAB 2IN CRUSHTUBE,SWAB 2IN CRUSHTUBE 50PK,00500,00050,CS,PK
501178729,501178729EA,10,2L PETG SINGLE USE BOTTLE 10PK,2L PETG SINGLE USE BOTTLE 1EA,00010,00001,CS,EA
05721137,05721137EA,4,4L W/M ROUND HDPE 4/CS,4L W/M ROUND HDPE 1EA,00004,00001,CS,EA
502063419,502063419PK,4,ACRO PSF IC 25MM 0.45UM  200CS,ACRO PSF IC 25MM 0.45UM 50PK,00200,00050,CS,PK
FB50050,FB50050EA,12,FLASK ERLENM NM GLS 50ML 12/PK,FLASK ERLENM NM GLS 50ML 1EA,00012,00001,PK,EA
0334114A,0334114APK,50,CENTRIFUGE TUBE 50ML FRSTND,VIAL STANDING STER 50ML 10PK,00500,00010,CS,PK
MKV5534,MKV5534EA,4,ETHYL ACETATE 4L 4/CS,ETHYL ACETATE 4L 1EA,00004,00001,CS,EA
502063012,502063012PK,4,ACRO CR PTFE 0.45UM 25MM 200C,ACRO CR PTFE 0.45UM 25MM 50PK,00200,00050,CS,PK
502063043,502063043PK,4,ACRO PVDF 0.45UM 25MM  200CS,ACRO PVDF 0.45UM 25MM 50PK,00200,00050,CS,PK
0334025N,0334025NPK,5,VIAL SCINT 20ML GLASS 500/CS,VIAL SCINT 20ML GLASS 100PK,00500,00100,CS,PK
12565971,12565971PK,50,TUBE 14ML ROUND BTM 500CS,TUBE 14ML ROUND BTM 10PK,00500,00010,CS,PK
18357,18357PK,5,SWAB 6IN WRAPPED COTTON 5000CS,SWAB 6IN WRAPPED COTTON 1000PK,05000,01000,CS,PK
19055467,19055467PK,10,GREEN 24  BOUFFANT CAP 1000/CS,GREEN 24  BOUFFANT CAP 100PK,01000,00100,CS,PK
19546579,19546579PK,20,PROC2WIPE IPA70 STER 50/PKS,PROC2WIPE IPA70STER 50WIPES/PK,01000,00050,CS,PK
501178722,501178722EA,10,125ML PETG SINGLE USE BTL CS10,125ML PETG SINGLE USE BTL 1/EA,00010,00001,CS,EA
501178724,501178724EA,10,500ML PETG SINGLE USE BTL CS10,500ML PETG SINGLE USE BTL 1/EA,00010,00001,CS,EA
501178728,501178728EA,10,1L PETG SINGLE USE BOTTLE 10PK,1L PETG SINGLE USE BOTTLE 1/EA,00010,00001,CS,EA
18326B,18326BPK,4,ALPHASAT 9INX9IN 200/CS,ALPHASAT 9INX9IN 50/PK,00200,00050,CS,PK
6000056,6000056EA,6,FORMIC ACID/ACETONIT 1LT,FORMICACID/ACETONIT 1LT EA,00006,00001,CS,EA
03411720,03411720EA,4,WASHBTL ACETONE GHSVENT 500ML,WSHBTLACETONE GHSVENT500ML EA,00004,00001,PK,EA
FB0340935,FB0340935EA,3,FB WASH BTTLE VENT ISOPROPANOL,FBWASHBTTLEVENTISOPROPANOLEA,00003,00001,PK,EA
FB11865160,FB11865160E,3,FB WASH BOTTLE VENT NA HYPOCHL,FB WSHBOTTLE VENTNA HYPOCHL EA,00003,00001,PK,EA
18315D,18315DPK,10,TECHNICLOTH 12INX12IN 1500/CS,TECHNICLOTH 12INX12IN 150PK,01500,00150,CS,PK
19034963,19034963PK,50,SWAB LOW TOC VALIDATION,SWAB LOW TOC VALIDATION 20PK,01000,00020,CS,PK
0553853F,0553853FPK,10,CENT TUBE 15ML PP DISP 500/CS,CENT TUBE 15ML PP DISP 50PK,00500,00050,CS,PK
191305044,191305044EA,20,TEXWRITE SMALL SPIRAL NOTEBOOK,TEXWRITECLEANRMSPRIALNOTEBK1EA,00020,00001,CS,EA
19139695,19139695EA,10,NOTEBOOK CLEANRM LAB 8.5 X1,TEXWRITECLEANROOMNOTEBOOK1EA,00010,00001,CS,EA
19036087,19036087PK,12,WIPER ALPHA SAT FLAT,WIPER ALPHA SAT FLAT 75PK,00900,00075,CS,PK
18359,18359PK,10,SWAB 5IN RECTANGUL HEAD 1000CS,SWAB 5IN RECTANGUL HEAD 100PK,01000,00100,CS,PK
19033016,19033016PK,24,WIPE POLYSAT 9INX 11IN,WIPE POLYSAT 9INX11IN 50PK,01200,00050,CS,PK
19305245,19305245EA,36,AUTOCLAVE IND TAPE 1 X60YD,AUTOCLAVE IND TAPE 1 X60YD 1EA,00036,00001,CS,EA
19033523A,19033523APK,12,WIPR 6X8 PRWTD W IPA,WIPR 6X8 PRWTD W IPA 100PK,01200,00100,CS,PK
18330E,18330EPK,10,TECHNICLOTH II 18X18IN 750/CS,TECHNICLOTH II 18X18IN 75PK,00750,00075,CS,PK
12111006,12111006EA,10,10UL UTIP LOW RET ST 960PK,10UL UTIP LOW RET ST 96EA,960,96,PK,EA
12111007,12111007EA,10,10UL XL UTIP LOW RET ST 960PK,10UL XL UTIP LOW RET ST 96EA,960,96,PK,EA
12111132,12111132EA,10,1000L FILTR TIP ST UNIV960PK,1000L FILTR TIP ST UNIV 96EA,960,96,PK,EA
1368059,1368059PK,12,TCFLSK 75CM2PLUGSEALCANTD 60CS,TCFLSK 75CM2PLUGSEALCANTD 5PK,00060,00005,CS,PK
19722002,19722002PK,10,BOUFFANT BLU 21 1000CS,BOUFFANT BLU 21 100PK,01000,00100,CS,PK
18031089,18031089PK,4,WIPER IPA PREWET 800/BAGWI,WIPER PREWET 200/PK,00800,00200,CS,PK
191305654,191305654PK,12,PREWETTED 9 X9 WIPER,PREWETTED 9 X9 WIPER,00600,00050,CS,PK
509051605,509051605EA,50,VIEWPLATE-96 BLACK 50/BOX,VEWPLATE-96 BLACK 1/EA,00050,00001,PK,EA
19165653,19165653PK,20,STERILE ALPHASAT IPA,STERILE ALPHASAT IPA 20PK,00400,00020,CS,PK
1495714A,1495714APK,4,CULT TUBE WH 13X100MM 1000/CS,CULT TUBE WH 13X100MM 250PK,01000,00250,CS,PK
18315B,18315BPK,10,TECHNICLOTH 6INX6IN 6000/CS,TECHNICLOTH 6INX6IN 600EA/PK,06000,00600,CS,PK
18315C,18315CPK,10,TECHNICLOTH 9INX9IN 3000/CS.,TECHNICLOTH 9INX9IN 300/PK,03000,00300,CS,PK
18322,18322PK,10,ALPHAWIPE 9INX9IN 1500/CS,ALPHAWIPE 9INX9IN 150EA/PK,01500,00150,CS,PK
18324,18324PK,10,ALPHAWIPE 12INX12IN 750/CS,ALPHAWIPE 12INX12IN 75EA/PK,00750,00075,CS,PK
18360,18360PK,10,SWAB 5IN CIRCULAR HEAD 1000/CS,SWAB 5IN CIRCULAR HEAD 100/PK,01000,00100,CS,PK
18361,18361PK,10,SWAB 4IN MED FLEX HEAD 1000/CS,SWAB 4IN MED FLEX HEAD 100/PK,01000,00100,CS,PK
18385,18385PK,10,ALPHA SWAB LONG HAND 6IN,ALPHA SWAB LONG HAND 6IN 100PK,01000,00100,CS,PK
19003483,19003483PK,10,SWAB LARGE ALPHA,SWAB LARGE ALPHA 100/PK,01000,00100,CS,PK
19099195,19099195PK,12,TECHNI GOWNWIPE 8X5.5,TECHNI GOWNWIPE 8X5.5 210/PK,02520,00210,CS,PK
191303951,191303951PK,12,PRE WET IPA WIPER 9X9,PRE WET IPA WIPER 9X9 50/PK,00600,00050,CS,PK
191305610,191305610PK,10,CUT LAUNDERED 9X9,CUT LAUNDERED 9X9 150/PK,01500,00150,CS,PK
191600120,191600120PK,3,WIPER 9X11 BG300,WIPER 9X11 BG300 300/PK,00900,00300,CS,PK
502083987,502083987PK,10,CLAMP SANTRY FITTING MX 100/CS,CLAMP SANITARY FITTING MX 10PK,00100,00010,CS,PK
18363,18363PK,10,SWAB 5IN TAPE HEAD 1000/CS,SWAB 5IN TAPE HEAD 100PK,01000,00100,CS,PK
191202807,191202807EA,12,TEXWRITE CE CLIPBOARD,TEXWRITE CE CLIPBOARD 1EA,00012,00001,CS,EA
191305042,191305042EA,10,TEXWRITE LG SPIRAL NOTEBK 1EA,TEXWRITE LG SPIRAL NOTEBK 1EA,00010,00001,CS,EA
191305043,191305043EA,10,TEXWRITE MED SPIRAL NOTEBOOK,TEXWRITE MED SPIRAL NOTEBK 1EA,00010,00001,CS,EA
502083986,502083986PK,10,CLAMP SANITRY FITTING MN CS100,CLAMP SANITRY FITTING MN 10PK,00100,00010,CS,PK
02707402,02707402EA,10,1250UL TIP RACK STER 960/PK,1250UL TIP RACK STER 96EA,960,96,PK,EA
02707403,02707403EA,10,1250UL TIP RACK RELOAD 960/PK,1250UL TIP RACK RELOAD 96EA,960,96,PK,PK
02707410,02707410EA,10,300UL TIP STER RACK 960/PK,300UL TIP STER RACK 96EA,960,96,PK,EA
02707413,02707413EA,10,200UL TIP RACK STER 960/PK,200UL TIP RACK STER 96EA,960,96,PK,EA
02707415,02707415EA,10,200UL TIP RACK 960/PK,200UL TIP RACK 96EA,960,96,PK,EA
02707417,02707417EA,10,200UL TIP RACK RELOAD 960/PK,200UL TIP RACK RELOAD 96EA,960,96,PK,EA
02707419,02707419EA,10,200UL TIP RACK STER 960/PK,200UL TIP RACK STER 96EA,960,96,PK,EA
02707420,02707420EA,10,200UL TIP RACK RELOAD 960/PK,200UL TIP RACK RELOAD 96EA,960,96,PK,EA
02707436,02707436EA,10,10UL TIP RACK 960/PK,10UL TIP RACK 96EA,960,96,PK,EA
02707438,02707438EA,10,10UL TIP RACK RELOAD 960/PK,QSP PL SUREONE PIPET TIPS,960,96,PK,EA
12111004,12111004EA,10,300UL UTIP FLT LOWRET ST 960PK,300UL UTIP FLT LOWRET ST 96PK,960,96,PK,EA
02707400,02707400EA,10,1250UL TIP BULK 1000/PK,1250UL TIP BULK 100EA,1000,100,PK,EA
0255525B,0255525BEA,12,BEAKER HEVI DUTY 250ML 12/PK,BEAKER HEVI DUTY 250ML 1/EA,00012,00001,PK,EA
FB012939,FB012939PK,8,182CM2 TC FLASK VENT CAP 40/CS,182CM2 TC FLASK VENT CAP 5/PK,00040,00005,CS,PK
02539K,02539KEA,12,BEAKER GRIFFIN 250ML 12/PK,BEAKER GRIFFIN 250ML 1EA,00012,00001,PK,EA
19165122,19165122EA,12,APRON CT VINYL 8ML SNAP TIE 2X,APP PVC APRON 1/EA,00012,00001,CS,EA
22037569,22037569PK,4,TUBE DCT NO CAP 15-415 16X100,TUBEDCTNOCAP15-41516X100 250PK,01000,00250,CS,PK
1523580,1523580PK,4,WYPALL X80 SHOP PRO TWLS 200CS,WYPALL X80 SHOP PRO TWLS 50PK,00200,00050,CS,PK
10320727,10320727EA,10,TIPS 200UL NAT HR LR 960/PK ST,TIPS 200UL NAT HR LR ST 96EA,960,96,PK,EA
02992089,02992089PK,10,13X15 CL LDPE 2ML ZP BG 1000CS,13X15 CL LDPE 2ML ZP BG 100PK,01000,00100,CS,PK
02991989,02991989PK,10,5X7 CL LDPE 2MIL ZP BG 1000CS,5X7 CL LDPE 2MIL ZP BG 100PK,01000,00100,CS,PK
05413952,05413952EA,10,EPDUALFILTER 2-200UL PCRST 960,EPDUALFLTR2-200UL PCRST 1EA/96,960,96,PK,EA
17463009,17463009EA,4,LPH III SE 1 GAL. X 4 PER CA,LPH III SE 1 GAL. EA,00004,00001,CS,EA
19043916,19043916EA,12,PURELL HND SANITIZER 12CS 12OZ,PURELL HND SANITIZER 12OZ EA,00012,00001,CS,EA
19048431,19048431PK,5,WIPERS KIMTECH PREP 500/CS,WIPERS KIMTECH PREP 100PK,00500,00100,CS,PK
19181519,19181519EA,4,ADHSVE MAT 18X36 MT 30/S 4/CS,ADHSVE MAT 18X36 MT 30/S EA,00004,00001,CS,EA
19413252,19413252PK,25,KLX HNDTWL WH 9.4X12.4 3000CS,KLX HNDTWL WH 9.4X12.4 120PK,03000,00120,CS,PK
19041162,19041162EA,10,GOGGLE 452 IMPACT/CLR 10/CS,GOGGLE 452 IMPACT/CLR EA,00010,00001,CS,EA
19043965,19043965EA,6,GOJO GREEN CERTIFIED FOAM,GOJO GREEN CERTIFIED FOAM EA,00006,00001,CS,EA
191500428,191500428PK,8,N95 1512N95 MD  160/CS,N95 1512N95 MD  20/PK,00160,00020,CS,PK
191500429,191500429PK,8,N95 1513N95 LG  160/CS,N95 1513N95 LG  20/PK,00160,00020,CS,PK
19415112,19415112EA,12,SEPTIHOL STERILE ALCOHOL 12/CS,SEPTIHOL STERILE ALCOHOL EA,00012,00001,CS,EA
189994521,189994521PK,6,MSK PCM2000 WKT HDBD 300/CS,MSK PCM2000 WKT HDBD 50PK,00300,00050,CS,PK
02993438,02993438PK,48,13-425 BKPH PLYCN RIB CP 576CS,13-425 BKPH PLYCN RIB CP 12PK,00576,00012,CS,PK
50202006,50202006PK,20,50ML CENTRIFUGE TUBE FLIP BAG,50ML CENTRIFUG TUBEFLIP BAG 25,00500,00025,CS,PK
19160834D,19160834DPR,12,GLOVE G-TEK M 12PR/DZ,GLOVE G-TEK M 1PR,00012,00001,DZ,PR
509018245,509018245EA,30,CARTRIDGES EMPTY 25G PK30,CARTRIDGES EMPTY 25G 1EA,00030,00001,PK,EA
02923219,02923219PK,10,EZ FLIP PP TUBE 15ML BULK CASE,EZ FLIP PP TUBE 15ML 50PK,00500,00050,CS,PK
6000045,6000045EA,4,TFA/ACETONIT HPLC S 4LT,TFA/ACETONITHPLCS 4LT/EA,00004,00001,CS,EA
FB087579B,FB087579BPK,25,100X 15MM NO RIM SLIPPABLE,100X15MM NO RIM SLIPPABLE 20PK,00500,00020,CS,PK
0343814B,0343814BEA,12,BOTTLE LGTWGH HDPE 12X1GAL,BOTTLE LGTWGH HDPE 1GAL 1EA,00012,00001,CS,EA
14955240,14955240PK,20,50 ML CENTRIFUG TUB SLV 500/CS,0 ML CENTRIFUG TUB SLV 25PK,00500,00025,CS,PK
03410142,03410142PK,10,ABC CAP PTFE/SIL/PTFENAT1000CS,ABC CAP PTFE/SIL/PTFENAT 100PK,01000,00100,CS,PK
UFC900396,UFC900396PK,4,AMICN ULTRA15ML 3K NMWL 4PK/CS,AMICN ULTRA15ML 3K NMWL 24PK,96,24,PK,PK
14955238,14955238PK,10,15 ML CENTRIFUGE TUBE SLEEVE,15 ML CENTRIFUGE TUBE SLV 50PK,00500,00050,CS,PK
191501191,191501191PK,10,BOUFFANT 1000/CS,BOUFFANT 100/PK,01000,00100,CS,PK
19808746,19808746PK,10,30 BLUE CLEANROOM 2500SHEETS,30 BLUE CLEANROOM 250/PK,02500,00250,CS,PK
12888001A,12888001APK,10,FACEMASK 3 PLY EARLOOP 500CS,FACEMASK DISPOSABLEARLOOP 50PK,00500,00050,CS,PK
19046190,19046190PK,10,RGLR SIZE BLU BRD CVR 1000CS,RGLR SIZE BLU BRD CVR 100PK,01000,00100,CS,PK
09320300,09320300EA,3,PAPER ROLL SELF-ADHESIVE 3PK,PAPER ROLL SELF-ADHESIVE 1EA,00003,00001,PK,EA
128970022,128970022PK,20,24  ROUND BOUFFANT CAP 2000/CS,24  ROUND BOUFFANT CAP 100PK,02000,00100,CS,PK
128970012,128970012PK,20,21  ROUND BOUFFANT CAP 2000/CS,21  ROUND BOUFFANT CAP 100PK,02000,00100,CS,PK
19268010,19268010EA,5,TR-6510N OV/HEPA CARTRDG 5/CS,TR-6510N OV/HEPA CARTRDG 1/EA,00005,00001,CS,EA
S2VPT10RE,S2VPT10REEA,12,STERITOPVP1000MLPES.10UM4 PK12,STERITOPVP1000MLPES.10UM4,00012,00001,PK,EA
FBMB500,FBMB500EA,12,BOTTLE STR MEDIA FB 500ML CS12,BOTTLE STR MEDIA FB 500ML 1EA,00012,00001,CS,EA
1371285,1371285EA,50,TBG-NP-PVC 5/16X7/16X1/16 50FT,TBG-NP-PVC 5/16X7/16X1/16 1FT,50,1,CS,EA
07202001,07202001PK,20,FLASK 75CM2 U-SHAPE PLUG 100CS,FLASK 75CM2 U-SHAPE PLUG 5PK,00100,00005,CS,PK
50202004,50202004PK,12,50ML CENTRIFUGE TUBE RACK 300C,50ML CENTRIFUGE TUBE RACK 25PK,00300,00025,CS,PK
50607513,50607513PK,12,15ML CENT TUBE PLAS RK 300/CS,15ML CENT TUBE PLAS RK 25PK,00300,00025,CS,PK
17441026,17441026PK,10,TF-050-095-RB 1000/CS-2XL,TF-050-095-RB 100/PK-2XL,01000,00100,CS,PK
19149857,19149857PK,10,GLV CRIT STER NITSZ6 200PR/CS,GLV CRIT STER NITSZ6 20PR/PK,00200,00020,CS,PK
19149857A,19149857APK,10,GLV CRIT STER NITSZ6.5 200PRCS,GLV CRIT STER NITSZ6.5 20PR/PK,00200,00020,CS,PK
22145101,22145101PK,10,RGNT RESERVOIR NS 25ML 100/CS,RGNT RESERVOIR NS 25ML 10/PK,00100,00010,CS,PK
22306360,22306360PK,10,BAG ZIP SEAL 2MIL 6X6 M/CS,BAGZIP SEAL 2MIL 6X6 100/PK,01000,00100,CS,PK
22306366,22306366PK,10,BAG ZIP SEAL 2MIL 10X12 M/CS,BGZIP SEAL 2MIL 10X12 100/PK,01000,00100,CS,PK
0720194,0720194PK,10,96WLPLT ST CELBND FLTCLR 50/CS,96WLPLT ST CELBND FLTCLR 5/PK,00050,00005,CS,PK
07202003,07202003PK,20,FLASK 75CM2 U-SHAPE VENT 100CS,FLASK 75CM2 U-SHAPE VENT 5/PK,00100,00005,CS,PK
08757214,08757214PK,10,MULTIPLE WELL PLATE TC 50/CS,MULTIPLE WELL PLATE TC 5/PK,00050,00005,CS,PK
08757215,08757215PK,10,MULTIPLE WELL PLATE TC 50/CS,MULTIPLE WELL PLATE TC 5/PK,00050,00005,CS,PK
08757216,08757216PK,10,MULTIPLE WELL PLATE TC 50/CS,MULTIPLE WELL PLATE TC 5/PK,00050,00005,CS,PK
08757500,08757500PK,10,FLASK 25CM NON TREATED 200/CS,FLASK 25CM NON TREATED 20/PK,00200,00020,CS,PK
08757503,08757503PK,10,FLASK 175CM NON TREATED 50CS,FLASK 175CM NON TREATED 5/PK,00050,00005,CS,PK
0877252,0877252EA,50,PLT 48WEL NO-TC FL BT PS 50/CS,PLT 48WEL NO-TC FL BT PS 1EA,00050,00001,CS,EA
0877254,0877254EA,50,PLT 96WEL NO-TC U BTM PS 50/CS,PLT 96WEL NO-TC U BTM PS 1EA,00050,00001,CS,EA
FB012932,FB012932EA,100,96U WELL TC MULTIDISH 100/CS,96U WELL TC MULTIDISH 1EA,00100,00001,CS,EA
13700435,13700435PK,10,CELLBIND 48 WELL PLATE 50/CS,CELLBIND 48 WELL PLATE 5/PK,00050,00005,CS,PK
12111008,12111008EA,10,200UL UTIP LOW RET ST 960PK,200UL UTIP LOW RET ST 96EA,960,96,PK,EA
FB02911458A,FB0291458AE,48,GRAD AC 1OZ CLR PTFE CP 48/CS,GRAD AC 1OZ CLR PTFE CP 1EA,00048,00001,CS,EA
FB02911460A,FB2911460AE,24,GRAD AC 4OZ CLR PTFE CP 24/CS,GRAD AC 4OZ CLR PTFE CP 1EA,00024,00001,CS,EA
013611B,013611BEA,25,CVL TYVEK ZPR FRONT M 25/CS,CVL TYVEK ZPR FRONT M 1EA,00025,00001,CS,EA
MT10009CV,MT10009CVEA,6,CORNING MEM W/ 1.5 NAHCO3 NEAA,CORNINGMEMW/1.5NAHCO3 NEAA 1EA,00006,00001,CS,EA
100672G,100672GEA,2,FLASK TS 24/40 1000ML 2/PK,FLASK TS 24/40 1000ML 1EA,00002,00001,PK,EA
501633601,501633601EA,5,BTL PL SPRAY ET7024 GHS PK5,BTL PL SPRAY ET7024 GHS 1EA,00005,00001,PK,EA
FB012920,FB012920PK,96,35MM TC DISH 960/CS,35MM TC DISH 10PK,00960,00010,CS,PK
FB012924,FB012924PK,30,100MM TCDISH W/GRP RING 300/CS,100MM TCDISH W/GRP RING 10/PK,00300,00010,CS,PK
FB12566500,FB12566500E,12,FILTER PES 150ML 50MM 0.2UM,FLTR PES 150ML 50MM 0.2UM EA,00012,00001,CS,EA
FB12566506,FB12566506E,12,FILTER PES 1000ML 90MM 0.2UM,FLTR PES 1000ML 90MM 0.2UM EA,00012,00001,CS,EA
14222144,14222144PK,5,MICROTBE 0.6ML CLR STER 500PK,MICROTBE 0.6ML CLR STER 100PK,00500,00100,PK,PK
14222169,14222169PK,5,MICROTBE 1.7ML CLR STER 250PK,MICROTBE 1.7ML CLR STER 50PK,00250,00050,PK,PK
15100124,15100124EA,4,BOTTLE 500ML 4CS,BOTTLE 500ML EACH,00004,00001,CS,EA
15100125,15100125EA,4,BOTTLE 1000ML 4CS,BOTTLE 1000ML EACH,00004,00001,CS,EA
19142679,19142679EA,10,LABMARKER IPA RESISTANT 10/PK,LABMARKER IPA RESISTANT EACH,00010,00001,PK,EA
1916561,1916561PK,20,WIPE QUILTEC KNIT 12 STR 500CS,WIPE QUILTEC KNIT 12 STR 25/PK,00500,00025,CS,PK
02682256,02682256EA,10,200 LR ART HINGE RACK 960/PK2,MBP TIPS,960,96,PK,EA
19668146,19668146PK,10,FACEVEIL/HEADBAND 15X13 1000CS,FACEVEIL/HEADBND 15X13 100PK,01000,00100,CS,PK
02540265,02540265EA,20,BIOTAINER PETG 2L ST 20/CSBIO,BIOTAINER PETG 2L ST EA,00020,00001,CS,EA
03313113,03313113EA,6,CRTCLN 5L PCBIOT S USP788 6CS,CRTCLN 5L PCBIOT S USP788 EA,00006,00001,CS,EA
03313115,03313115EA,2,CRTCLN 10L PCBIOT S USP788 2CS,CRTCLN 10L PCBIOT S USP788 EA,00002,00001,CS,EA
03313116,03313116EA,3,CRTCLN L PCBIOT S USP7880 3/CS,CRTCLN L PCBIOT S USP7880 EA,00003,00001,CS,EA
07201330,07201330PK,20,15ML CENTRFUG TB STERIL 500CS,15ML CENTRFUG TB STERIL 25/PK,00500,00025,CS,PK
